t,reward,oracle,regret,sales,health,roll_reward,roll_regret,roll_sales,roll_health
12897,8.53978947368421,12.216000000000001,3.6762105263157903,14.0,5.25,7.585813535295349,4.522708095965311,74.66258334625523,5.092256939060319
12898,8.41447619047619,12.216000000000001,3.801523809523811,55.0,5.26,7.58587777769051,4.522652185872556,74.66105899682145,5.092269943406466
12899,6.858857142857143,12.216000000000001,5.357142857142858,14.0,4.89,7.585821419501765,4.52271687507188,74.6563565891473,5.092254263565891
12900,5.781891472868217,12.224,6.442108527131783,139.0,4.35,7.5856815908104505,4.522865653589209,74.66134408185412,5.092196728935741
12901,5.520296296296296,12.216000000000001,6.695703703703705,90.0,5.25,7.585521508242283,4.523034064537132,74.66253294062936,5.0922089598511855
12902,6.9251952191235056,12.216000000000001,5.2908047808764955,119.0,5.26,7.585470332059292,4.5230935678089565,74.6659691544602,5.092221963884368
12903,2.9859047619047616,12.216000000000001,9.23009523809524,9.0,5.25,7.585113887114302,4.5234583385521585,74.66088034717917,5.092234190948544
12904,7.7534117647058824,12.216000000000001,4.462588235294119,98.0,5.26,7.585126928406637,4.523453621767715,74.66268888027896,5.092247191011236
12905,6.802466165413534,12.216000000000001,5.413533834586467,72.0,5.08,7.585066285235787,4.5235225881564345,74.66248256624826,5.092246242057957
12906,2.4831755725190843,12.216000000000001,9.732824427480917,8.0,4.47,7.584671004325218,4.523926190995151,74.65731773456264,5.0921980320756175
12907,6.112888888888889,12.216000000000001,6.1031111111111125,17.0,5.25,7.584556983399015,4.524048532560081,74.65285094515029,5.092210257204834
12908,5.8747936507936505,12.216000000000001,6.341206349206351,46.0,5.26,7.5844245360109435,4.524189299297756,74.65063134247424,5.092223255093345
12909,3.133090909090909,12.216000000000001,9.082909090909093,2.0,5.25,7.584079738673459,4.524542414696022,74.6450038729667,5.092235476374903
12910,4.446222222222222,12.216000000000001,7.7697777777777794,30.0,5.26,7.583836701146044,4.524793768995695,74.64154596855394,5.092248470296647
12911,10.144792079207921,12.216000000000001,2.07120792079208,81.0,5.25,7.584035040317208,4.524603745308567,74.64203841387857,5.092260687732343
12912,4.804645161290322,12.216000000000001,7.411354838709679,57.0,5.26,7.583819800645634,4.524827299176251,74.64067219081545,5.092273677689151
12913,3.9547692307692306,12.216000000000001,8.261230769230771,29.0,5.25,7.583538783875472,4.5251166288548985,74.63713798977854,5.09228589128078
12914,6.341647058823529,12.216000000000001,5.874352941176472,71.0,5.26,7.583442625011744,4.5252210993397854,74.63685636856368,5.092298877274486
