sales_item,mapped_items,Calories,Protein,Total Sugars
SPICY CHICKEN WRAP SECONDARY,"Spicy Chicken Wrap, Spicy Chicken Wrap, Spicy Chicken Wrap",446.0,25.0,2.0
TURKEY SAUSAGE ON BISCUIT,"Turkey Sausage Breakfast Biscuit, Turkey Sausage Breakfast Biscuit, Turkey Sausage Breakfast Biscuit",297.0,12.0,3.0
CHEEZ-IT,"Cheez-Its Crackers, Cheez-Its Crackers, Cheez-Its Crackers",100.0,2.0,0.0
MEATBALL SUB ELEM,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",520.0,19.0,31.0
PASTA W/ MEATBALLS ELEMENTARY,"Penne Pasta with Marinara and Beef Meatballs, Penne Pasta with Marinara and Beef Meatballs, Penne Pasta with Marinara and Beef Meatballs",492.0,28.0,10.0
ASIAN VEGGIE SUB-ES,"Asian Veggie Sub, Asian Veggie Sub, Asian Veggie Sub",539.0,19.0,32.0
CHICKEN TIKKA MASALA W/ RICE,"Chicken Tikka Masala, Chicken Tikka Masala, Chicken Tikka Masala",101.0,18.0,0.0
FRUIT SNACKS,"Fruit Snacks, Welch's Mixed, Fruit Snacks, Welch's Mixed, Fruit Snacks, Welch's Mixed",,,
GRILLED CHEESE SANDWICH ELEMENTARY,"Grilled Cheese Sandwich, Grilled Cheese Sandwich, Grilled Cheese Sandwich",300.0,18.0,6.0
CHICKENLESS BITES W/ ORANGE SAUCE W/RICE,Orange Chickenless Bites + Cooked  Brown Rice,447.0,18.0,13.0
CHEESE QUESADILLA ELEMENTARY,"Cheese Quesadilla, Cheese Quesadilla, Cheese Quesadilla",351.0,19.0,3.0
ALC BREAKFAST ENTREE,"Black Beans - salad bar entree, Chickpeas - salad bar entree, Chickpeas - salad bar entree",80.0,4.0,2.0
ALC VEGETABLE/FRUIT,"Fruit Snacks, Welch's Mixed, Manager's Vegetable Choice, Manager's Vegetable Choice",,,
STRAWBERRY PARFAIT,"Strawberry Parfait, Strawberry Parfait Power Pack, Strawberry Parfait",206.0,5.0,23.0
CHICKENLESS BITE W/ MAPLEL WAFFLE SECONDARY,"Maple Belgian Waffle, Waffle (Grain), Belgian, Buttery Maple, Bulk, Chickenless Bites",85.0,6.0,1.0
ORANGE CHICKEN SECONDARY,"Orange Chicken, Orange Chicken, Orange Chicken",231.0,18.0,11.0
BEAN & CHEESE PUPUSA-ES,Black Bean and Corn Salad + Bean and Cheese Pupusa,390.0,18.0,2.0
ASIAN BEEF MEATBALL SUB-ES,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",520.0,19.0,31.0
NACHOS W/ TURKEY BARBACOA & CHEESE SAUCE ES,Nachos with Turkey Barbacoa and Cheese Sauce + Nachos with Turkey Barbacoa and Cheese Sauce,870.0,38.0,8.0
MANDARIN PARFAIT,"Mandarin Orange Parfait, Mandarin Orange Parfait, Mandarin Orange Parfait",250.0,7.0,36.0
PASTA W/MEATBALLS SECODNARY,Pasta with Meat Sauce + Beef Meatballs,342.0,19.0,3.0
SIMPLY CHEX,"Cinnamon Chex Cereal, Cinnamon Chex Cereal, Blueberry Chex Cereal",230.0,3.0,12.0
NACHOS W/CHEESE-SECON DARY,Cheesy Fiesta Nachos + Egg and American Cheese on English Muffin,630.0,27.0,7.0
ALFREDO LASAGNA-ES,"Alfredo & Basil Lasagna, Alfredo & Basil Lasagna, Alfredo & Basil Lasagna",397.0,26.0,9.0
FISH TACOS ON TORTILLA-ES,"Fish Tacos, Turkey Barbacoa Tacos on Flour Tortillas, Fish Tacos",390.0,18.0,2.0
TURKEY & CHEESE ON BISCUIT,Turkey Pepperoni Pizza + Egg and American Cheese on Biscuit,629.0,34.0,10.0
NACHOS W/TACO MEAT&CHEESE-SEC ONDARY,"Cheesy Fiesta Nachos + Beef, Taco Meat, Pre-Cooked + Egg and American Cheese on English Muffin",743.0,40.0,9.0
CHICKEN DUMPLING SECONDARY,"Spicy Chicken Wrap, Chicken, Bites, Chicken Tenders",226.0,17.0,0.0
SANDWICH (SEC),"Grilled Cheese Sandwich, Grilled Cheese Sandwich, Chicken Philly Sandwich",350.0,20.0,6.0
SALAD BAR ELEMENTARY,"Chickpeas - salad bar entree, Black Beans - salad bar entree, Black Beans - salad bar entree",80.0,4.0,2.0
ORANGE CHICKENLESS BITE SECONDARY,"Orange Chickenless Bites, Orange Chickenless Bites, Orange Chickenless Bites",220.0,13.0,13.0
YOGURT POWER PACK SECONDARY,"Peach Yogurt Power Pack, Peach Yogurt Power Pack, Peach Yogurt Power Pack",320.0,14.0,16.0
CHICKEN & CHEESE QUESADILLA SECONDARY,Chicken Tenders + Cheese Quesadilla,577.0,36.0,3.0
BBQ CHICKEN SANDWICH ELEMENTARY,"BBQ Chicken Sandwich, BBQ Chicken Sandwich, BBQ Chicken Sandwich",331.0,29.0,11.0
TRIPLE BERRY PARFAIT,"Triple Berry Parfait Power Pack, Triple Berry Parfait Power Pack, Parfait, Triple Berry",216.0,6.0,26.0
FIELD TRIP LUNCH ELEMENTARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",322.0,15.0,2.0
BISCUIT & JELLY,"Turkey Sausage Breakfast Biscuit + Peanut Butter and Jelly Sandwich, IW",597.0,21.0,17.0
TURKEY BARBACOA AREPAS W/ CHEESE ES,"Nachos with Turkey Barbacoa and Cheese Sauce, Nachos with Turkey Barbacoa and Cheese Sauce, Quesadilla, Turkey Barbacoa and Cheese",435.0,19.0,4.0
STRING CHEESE,"String Cheese, String Cheese, String Cheese",80.0,6.0,1.0
SALAD BAR SECONDARY,"Chickpeas - salad bar entree, Black Beans - salad bar entree, Black Beans - salad bar entree",80.0,4.0,2.0
CHEESE QUESADILLA SECONDARY,"Cheese Quesadilla, Cheese Quesadilla, Cheese Quesadilla",351.0,19.0,3.0
FISH W/ ROLL-SECONDARY,"Whole Wheat Dinner Roll, Sub Roll, Sub Roll",140.0,6.0,3.0
MINI CHEESE CALZONE SECONDARY,"Calzone, Cheese, Calzone, Cheese, Calzone, Cheese",300.0,18.0,4.0
CHICKEN TENDER ON BISCUIT,"Egg and American Cheese on Biscuit, Egg and American Cheese on Biscuit, Egg and American Cheese on Biscuit",306.0,11.0,4.0
CHICKEN ON BUN SECONDARY,"Spicy Breaded Chicken Patty on Bun, Spicy Breaded Chicken Patty on Bun, Spicy Breaded Chicken Patty on Bun",365.0,22.0,3.0
HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,Hot Turkey & Cheese + Grilled Cheese Sandwich,570.0,40.0,10.0
GRILLED CHEESE SANDWICH SECONDARY,"Grilled Cheese Sandwich, Grilled Cheese Sandwich, Grilled Cheese Sandwich",300.0,18.0,6.0
VEGGIE DUMPLINGS SECONDARY,"Asian Veggie Sub, Asian Veggie Sub, Asian Veggie Sub",539.0,19.0,32.0
TURKEY BARBACOA QUESADILLA SECONDARY,"Quesadilla, Turkey Barbacoa and Cheese, Quesadilla, Turkey Barbacoa and Cheese, Quesadilla, Turkey Barbacoa and Cheese",402.0,26.0,3.0
BEAN & CHEESE PUPUSA SECONDARY,Black Bean and Corn Salad + Bean and Cheese Pupusa,390.0,18.0,2.0
ALFREDO LASAGNA-SECONDA RY,"Alfredo & Basil Lasagna, Alfredo & Basil Lasagna, Alfredo & Basil Lasagna",397.0,26.0,9.0
VEGAN BURGER SECONDARY,"BBQ Vegan Burger, Vegan Burger, Vegan Burger",270.0,20.0,4.0
ASIAN BEEF MEATBALL SUB-SECONDARY,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",520.0,19.0,31.0
NACHOS W/TURKEY BARBACOA&CHEES E SECONDARY,Cheesy Fiesta Nachos + Turkey Barbacoa Arepa + Cheesy Fiesta Nachos,1110.0,53.0,10.0
CHANA MASALA W/ RICE,"Chana Masala, Chana Masala, Chana Masala",80.0,4.0,2.0
CHICKEN PHILLY SUB-ES,"Chicken Tenders Sub, Chicken Tenders Sub, Chicken Tenders Sub",366.0,23.0,3.0
FISH FILLET SANDWISH-SECON DARY,"Fish Tacos, Fish Tacos, Fish Tacos",390.0,18.0,2.0
$0.50 Juice,"Apple Juice, Orange Tangerine Juice, Apple Juice",60.0,0.0,13.0
ALC $1 YOGURT OZ,"Assorted  4 oz Yogurt, Assorted  4 oz Yogurt, Assorted  4 oz Yogurt",,,
VEGAN BURGER ELEMENTARY,"BBQ Vegan Burger, Vegan Burger, Vegan Burger",270.0,20.0,4.0
MEATBALL SUB SECONDARY,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",520.0,19.0,31.0
CHICKEN TIKKA MASALA SECONDARY,"Chicken Tikka Masala, Chicken Tikka Masala, Chicken Tikka Masala",101.0,18.0,0.0
BBQ CHICKEN SANDWICH SECONDARY,"BBQ Chicken Sandwich, BBQ Chicken Sandwich, BBQ Chicken Sandwich",331.0,29.0,11.0
TACO BEEF AREPAS-ES,"Arepa w/Taco Beef, Taco Beef, Arepa w/Taco Beef",253.0,16.0,4.0
FISH TACO ON TORTILLA-SECONDA RY,"Soft Bean Taco on Flour Tortilla, Soft Bean Taco on Flour Tortilla, Soft Beef Taco on Flour Tortilla",216.0,21.0,2.0
CEREAL/ NO MILK,"Cinnamon Chex Cereal, Honey Cheerios Cereal, Cinnamon Toast Crunch Cereal, 25% Less Sugar",210.0,3.0,12.0
NACHOS W/TACO MEAT/CHEESE SAUCE ELEMENTARY,Cheesy Fiesta Nachos + Nachos with Taco Meat and Cheese Sauce,844.0,31.0,10.0
CHICKEN DUMPLINGS ELEMENTARY,"Chicken & Vegetable Dumplings, Chicken & Vegetable Dumplings, Chicken & Vegetable Dumplings",242.0,17.0,3.0
HOT TURKEY AND CHEESE SANDWICH SECONDARY,Hot Turkey & Cheese + Grilled Cheese Sandwich,570.0,40.0,10.0
