RecipeID,RecipeName,ServingSize,GramsPerServing,Calories,Protein,Total Fat,Saturated Fat,Trans Fat,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Sodium,Cholesterol,sales_item,match_score,needs_review
10128,Frozen Mixed Berry & Lemon Cup,Each,129.0,70.0,0.0,0.0,0.0,0.0,19.0,2.0,15.0,0.0,0.0,0.0,EGG & CHEESE ON BISCUIT,6.0,False
60215,Garlic & Herb Mayo,2 tbsp,65.2,189.0,,19.0,4.0,,4.0,,,,378.0,38.0,EGG & CHEESE ON BISCUIT,6.0,False
10077,Mac & Cheese,2/3 cup,170.1,293.0,15.0,11.0,6.0,0.0,31.0,2.0,7.0,0.0,441.0,34.0,EGG & CHEESE ON BISCUIT,10.0,False
60152,Macaroni & Cheese,1 cup,1288.0,964.0,56.0,45.0,25.0,0.0,91.0,8.0,16.0,3.0,1215.0,126.0,EGG & CHEESE ON BISCUIT,10.0,False
10067,Roasted Plantains,3 Slices,81.1,140.0,1.0,3.0,0.0,0.0,28.0,1.0,23.0,0.0,0.0,0.0,ELEMENTARY,0.0,False
60069,Soft Bean Taco on Flour Tortilla,Taco,248.0,390.0,19.0,12.0,4.0,0.0,51.0,9.0,3.0,1.0,850.0,20.0,FISH TACO ON TORTILLA-SECONDA RY,14.0,False
60061,Soft Beef Taco on Flour Tortilla,Taco,180.4,216.0,21.0,12.0,6.0,0.0,10.0,2.0,2.0,,525.0,54.0,FISH TACO ON TORTILLA-SECONDA RY,14.0,False
60085,Bean Street Tacos on Flour Tortillas,2 Tacos,224.9,330.0,12.0,8.0,3.0,0.0,52.0,10.0,3.0,2.0,630.0,5.0,FISH TACOS ON TORTILLA-ES,10.0,False
30094,Doritos Wild White Nacho Flavored Tortilla Chips,Bag,28.3,130.0,2.0,5.0,1.0,0.0,20.0,2.0,0.0,0.0,170.0,0.0,FISH TACOS ON TORTILLA-ES,6.0,False
sys-14,Fish Tacos,2 Tacos,162.1,390.0,18.0,16.0,4.0,0.0,43.0,5.0,2.0,2.0,480.0,45.0,FISH TACOS ON TORTILLA-ES,10.0,False
60882,Fish Tacos,2 Tacos,162.1,382.0,18.0,15.0,4.0,0.0,44.0,5.0,2.0,2.0,443.0,45.0,FISH TACOS ON TORTILLA-ES,10.0,False
10048,Flour Tortilla,Tortilla,31.0,90.0,3.0,3.0,0.0,0.0,14.0,1.0,1.0,1.0,110.0,0.0,FISH TACOS ON TORTILLA-ES,6.0,False
60116,"Tacos, Taco Meat, Flour Tortilla",2 Tacos,156.9,313.0,19.0,12.0,5.0,0.0,35.0,6.0,4.0,2.0,496.0,39.0,FISH TACOS ON TORTILLA-ES,10.0,False
10129,Tortilla,Tortilla,30.0,90.0,2.0,2.0,1.0,0.0,15.0,2.0,1.0,1.0,75.0,0.0,FISH TACOS ON TORTILLA-ES,6.0,False
30032,Tortilla Chips,13 chips,28.0,138.0,2.0,6.0,1.0,0.0,19.0,1.0,0.0,0.0,74.0,0.0,FISH TACOS ON TORTILLA-ES,6.0,False
30173,"Tortilla Chips, Reduced Fat Tostitos, IW",Each,24.9,120.0,2.0,4.0,1.0,0.0,18.0,2.0,0.0,,95.0,0.0,FISH TACOS ON TORTILLA-ES,6.0,False
10049,"WG 10"" Flour Tortilla",Tortilla,62.0,180.0,5.0,5.0,0.0,0.0,29.0,3.0,2.0,1.0,220.0,0.0,FISH TACOS ON TORTILLA-ES,6.0,False
30002,Sub Roll,Sub Roll,57.0,140.0,6.0,2.0,0.0,0.0,27.0,4.0,3.0,3.0,220.0,0.0,FISH W/ ROLL-SECONDARY,6.0,False
30014,Whole Wheat Dinner Roll,Each,32.0,80.0,3.0,1.0,0.0,0.0,15.0,2.0,1.0,1.0,125.0,0.0,FISH W/ ROLL-SECONDARY,6.0,False
60091,Assorted Whole Fruit,Piece of Fruit,127.2,87.0,1.0,0.0,0.0,0.0,22.0,4.0,5.0,,2.0,0.0,FRUIT SNACKS,6.0,False
30124,"Fruit Snacks, Welch's Mixed",Each,42.5,,,,,,,,,,,,FRUIT SNACKS,10.0,False
20084,"Fruit, Honeydew, Fresh",1/2 cup,185.1,67.0,1.0,0.0,0.0,0.0,17.0,1.0,15.0,0.0,33.0,0.0,FRUIT SNACKS,6.0,False
20082,"Fruit, Pineapple, Fresh",1/2 cup,136.1,68.0,1.0,0.0,0.0,0.0,18.0,2.0,13.0,0.0,1.0,0.0,FRUIT SNACKS,6.0,False
30040,Mixed Dried Fruit,Package,37.7,120.0,0.0,0.0,0.0,0.0,31.0,2.0,24.0,8.0,25.0,0.0,FRUIT SNACKS,6.0,False
